HSRating,ESL,HSProgram,SummerBeforeHS,SuccessScholarship,DualEnrollment,Gender,Race,HSRegion,TimeUntilFCE,CollegeRegion,MovedAfterHS,persistIndicator
3,0,0,0,2,0,0,4,4,2.74193548,9,0,0
-1,0,0,0,1,0,0,4,7,2.87096774,5,1,0
8,0,0,1,1,0,0,4,3,2.64516129,3,0,0
8,0,0,1,1,0,0,4,3,0.41935484,3,0,0
8,0,0,0,1,0,1,6,3,0.41935484,3,0,0
8,0,0,1,1,0,0,4,3,0.41935484,3,0,0
8,0,0,1,1,0,0,4,3,0.41935484,3,0,1
8,0,0,1,2,0,1,6,3,2.58064516,3,0,0
8,0,0,1,2,0,1,5,3,2.67741935,3,0,0
8,0,0,1,2,0,0,4,3,2.58064516,3,0,0
2,0,0,0,1,0,0,4,4,2.70967742,9,0,0
2,0,0,0,1,0,1,4,4,2.48387097,9,0,1
2,0,0,0,1,0,0,4,4,2.74193548,9,0,0
2,0,0,0,1,1,0,4,4,2.70967742,9,0,0
2,0,0,0,1,0,1,4,4,2.70967742,9,0,0
2,0,1,0,1,0,1,4,4,2.70967742,9,0,1
2,0,0,0,1,0,1,4,4,2.70967742,2,1,0
2,0,0,0,1,1,0,6,4,2.70967742,9,0,0
2,0,0,0,1,0,0,4,4,2.70967742,2,1,0
-1,0,0,0,1,0,1,4,5,2.48387097,7,0,0
-1,0,0,0,1,0,1,4,5,2.48387097,7,0,0
6,0,0,0,1,0,0,4,2,2.38709677,10,1,0
6,0,0,0,1,0,1,4,2,2.41935484,10,1,0
6,0,0,0,1,0,0,4,2,2.58064516,10,1,0
6,0,0,0,1,0,0,4,2,2.41935484,10,1,0
6,0,0,0,1,0,0,4,2,2.41935484,10,1,0
-1,0,0,0,2,0,0,2,5,2.48387097,7,0,1
3,0,0,0,1,0,0,4,1,0.4516129,2,1,0
-1,0,0,1,2,0,0,1,3,0.32258065,3,0,0
-1,0,0,0,1,0,0,6,6,2.41935484,8,0,0
7,1,0,0,1,0,1,6,3,0.41935484,3,0,1
7,0,0,1,1,0,0,4,3,2.48387097,7,1,0
7,1,0,0,1,0,0,4,3,2.64516129,3,0,1
7,0,0,1,1,0,0,4,3,0.41935484,7,1,0
7,0,0,1,1,0,0,4,3,2.48387097,7,1,1
7,1,0,0,1,0,0,4,3,2.64516129,3,0,0
7,0,0,0,2,0,1,1,3,0.48387097,7,1,0
7,0,0,0,2,0,1,4,3,0.4516129,7,1,1
7,0,0,1,2,0,1,4,3,2.64516129,7,1,0
7,1,0,0,2,0,1,4,3,0.4516129,7,1,0
7,1,0,0,2,0,1,1,3,0.32258065,3,0,0
7,0,0,1,2,0,1,4,3,2.51612903,7,1,0
7,1,0,1,2,0,1,3,3,0.4516129,3,0,0
7,0,0,1,2,0,1,4,3,2.51612903,7,1,0
